6189266,AGREGADOS PARA LA CONSTRUCCION EL SEIS,AGREGADOS PARA LA CONSTRUCCION EL SEIS SA DE CV,Minería de arena y grava para la construcción,0 a 5 personas,MERCED CABRERA,179,0,ALTA VILLA,28986,VILLA DE ÁLVAREZ,13123115300,AGREGADOSSEIS@HOTMAIL.COM,,19.26687682,-103.74048149
6186344,AGREGADOS PARA LA CONSTRUCCION EL SEIS S.A. DE C.V.,AGREGADOS PARA LA CONSTRUCCION EL SEIS SA DE CV,Minería de arena y grava para la construcción,11 a 30 personas,CARRETERA VILLA ÁLVAREZ MINATITLÁN,0,0,SIN COLONIA,28970,VILLA DE ÁLVAREZ,3123115300,AGREGADOSSEIS@HOTMAIL.COM,,19.31916667,-103.81861111
6189081,AGREGADOS TORRES HERMANOS OFICINA,"AGREGADOS TORRES HERMANOS, S.A. DE C.V.",Minería de arena y grava para la construcción,11 a 30 personas,INDEPENDENCIA,97,0,CENTRO,28970,VILLA DE ÁLVAREZ,13123147706,MCORTES_CTH@PRODIGY.NET.MX,,19.2652644,-103.73436172
6189271,AGREGADOS Y SERVICIOS RÍO SECO S.A. DE C.V.,"AGREGADOS Y SERVICIOS RÍO SECO, S.A. DE C.V.",Minería de arena y grava para la construcción,0 a 5 personas,J. MERCED CABRERA,739,0,,28970,VILLA DE ÁLVAREZ,3123110355,ASERISECOLIMA@HOTMAIL.COM,,19.27205988,-103.75037536
6186343,"AGREGADOS Y SERVICIOS RÍO SECO, S.A. DE C.V.","AGREGADOS Y SERVICIOS RÍO SECO, S.A. DE C.V.",Minería de arena y grava para la construcción,11 a 30 personas,CARRETERA VILLA DE ÁLVAREZ MINATITLÁN,0,0,LOCALIDAD EL PEDREGAL,28970,VILLA DE ÁLVAREZ,3110355,PEREGRINASETRI@HOTMAIL.COM,,19.29055556,-103.8075
6508860,"AGREGADOS Y SERVICIOS, S.A. DE C.V.",,Minería de arena y grava para la construcción,6 a 10 personas,BRECHA SIN NOMBRE,,,LA PAROTA,28450,COMALA,,,,19.30889669,-103.79388585
6189286,BODEGA CUATRO,"SOCIEDAD COOPERATIVA DE SALINEROS DE COLIMA, S.C.L.",Minería de sal,0 a 5 personas,PUERTO ÁNGEL,0,0,SALINERA,28350,ARMERÍA,13123120101,SALINEROSDECOLIMA@HOTMAIL.COM,WWW.SALINEROSDECOLIMA.COM,18.91951382,-104.06561456
6508787,BODEGA DE SAL SIN NOMBRE,COMERCIALIZADORA AL GRANO,Minería de sal,0 a 5 personas,Vicente Guerrero,,,NUEVO CUYUTLAN,28880,MANZANILLO,,,,19.01451767,-104.11891326
6189284,BODEGA DOS,"SOCIEDAD COOPERATIVA DE SALINEROS DE COLIMA, S.C.L.",Minería de sal,0 a 5 personas,FRANCISCO I MADERO,0,0,CENTRO,28350,ARMERÍA,3123120101,SALINEROSDECOLIMA@HOTMAIL.COM,WWW.SALINEROSDECOLIMA.COM,18.91836188,-104.07142154
6189285,BODEGA TRES,"SOCIEDAD COOPERATIVA DE SALINEROS DE COLIMA, S.C.L.",Minería de sal,0 a 5 personas,FRANCISCO I MADERO,0,0,CENTRO,28350,ARMERÍA,3123120101,SALINEROSDECOLIMA@HOTMAIL.COM,WWW.SALINEROSDECOLIMA.COM,18.91850397,-104.07154492
6189283,BODEGA UNO,"SOCIEDAD COOPERATIVA DE SALINEROS DE COLIMA, S.C.L.",Minería de sal,0 a 5 personas,BENITO JUÁREZ,0,0,CENTRO,28350,ARMERÍA,31231220101,SALINEROSDECOLIMA@HOTMAIL.COM,WWW.SALINEROSDECOLIMA.COM,18.92079261,-104.06911484
6189270,BODEGAS DE SALINEROS EL ABUELO,,Minería de sal,0 a 5 personas,CARRETERA LIBRE COLIMA MANZANILLO,0,0,LA ALDEA,28880,MANZANILLO,3121238856,,,19.01388942,-104.13111303
